número ,tratamento  ,Amostra,Pote,id ,parte_corpo part. Int.,int. segmento ,parte_corpo part. Frag.,frag. segmento ,local_tubo,microplastico,tipo,inteiro ,fragmentado,obs
47,C,A1,P13,Culicidae ,,,,,,ausente,,não ,não ,
48,T2,A1,P4,Culicidae ,"tórax, tubo digestivo ",4,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
49,T2,A1,P4,Chironomidae,tubo digestivo,"4, 5, 6, 7, 8, 9, 11",tubo digestivo ,"6, 9, 11",medio-anterior,presente,int_frag,sim,sim,
50,T2,A1,P4,Culicidae ,"tórax, tubo digestivo ","1, 8 ",tubo digestivo ,"1, 2, 3, 4, 7",anterior-medio-posterior,presente,int_frag,sim,sim,
51,T2,A1,P14,Odonata,"tórax, abdome","9, 10",abdome,"9, 10",posterior,presente,int_frag,sim,sim,
52,T2,A1,P14,Culicidae ,tubo digestivo,"1, 3, 7","tórax, tubo digestivo ","1,2,3,4,5,6,7,8",anterior-medio-posterior,presente,int_frag,sim,sim,
53,T2,A1,P14,Culicidae ,"tórax, tubo digestivo ","1, 2, 3 ","tórax, tubo digestivo ","1,2,3,4,5,6,7,8",anterior-medio-posterior,presente,int_frag,sim,sim,
54,T2,A1,P14,Chironomidae,tubo digestivo,"10, 11 ",tubo digestivo ,"1, 10, 11",anterior-posterior ,presente,int_frag,sim,sim,
55,C,A1,P15,Chironomidae,,,,,,ausente,,não,não ,
56,T1,A2,P10,Culicidae ,"cabeça, tórax, tubo digestivo","1, 2, 3, 4, 5, 6, 7, 8","cabeça, tórax, tubo digestivo","1,2,3,4,5,6,7,8",anterior-medio-posterior,presente,int_frag,sim,sim,
57,T2,A1,P11,Psychodidae,tubo digestivo,,,,anterior-medio-posterior,presente,inteiro,sim,não ,
58,T2,A1,P11,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",,,,presente,inteiro,sim,não ,
59,C,A1,P4,Culicidae ,,,,,,ausente,,não ,não ,
60,C,A1,P4,Chironomidae,,,,,,ausente,,não ,não ,
61,T2,A1,P10,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",tubo digestivo ,8,anterior-medio-posterior,presente,int_frag,sim,sim,
62,T2,A1,P10,Psychodidae,tubo digestivo,,,,anterior-medio-posterior,presente,inteiro,sim,não ,
63,T2,A1,P10,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",,,anterior-medio-posterior,presente,inteiro,sim,não ,
64,T1,A1,P6,Ostracoda,,,,,,ausente,,não ,não ,
65,T1,A1,P6,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8","tórax, tubo digestivo ","1, 8 ",anterior-medio-posterior,presente,int_frag,sim,sim,
66,T1,A1,P6,Culicidae ,"cabeça, tórax, tubo digestivo","1, 2, 3, 4, 5, 6",tubo digestivo ,"7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
67,T1,A1,P6,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",tubo digestivo ,8,anterior-medio-posterior,presente,int_frag,sim,sim,
68,T1,A1,P6,Culicidae ,,,tubo digestivo ,8,posterior,presente,fragmentado,não ,sim,
69,T1,A1,P4,Ostracoda,região digestiva ,,região digestiva ,,,presente,int_frag,sim,sim,
70,T1,A1,P4,Ostracoda,,,região digestiva ,,,presente,fragmentado,não,sim,
71,T1,A1,P4,Psychodidae,tubo digestivo,,,,,presente,inteiro,sim,não ,
72,C,A1,P9,Culicidae ,,,,,,ausente,,não ,não ,
73,C,A1,P9,Culicidae ,,,,,,ausente,,não ,não ,
74,C,A1,P9,Chironomidae,,,,,,ausente,,não ,não ,
75,C,A1,P9,Chironomidae,,,,,,ausente,,não ,não ,
76,C,A1,P7,Psychodidae,,,,,,ausente,,não ,não ,
77,C,A1,P7,Culicidae ,,,,,,ausente,,não ,não ,
78,C,A1,P7,Culicidae ,,,,,,ausente,,não ,não ,
79,C,A1,P7,Culicidae ,,,,,,ausente,,não ,não ,
80,C,A1,P7,Culicidae ,,,,,,ausente,,não ,não ,
81,C,A1,P7,Ostracoda,,,,,,ausente,,não ,não ,
82,C,A1,P11,Chironomidae,,,,,,ausente,,não ,não ,
83,C,A1,P11,Culicidae ,,,,,,ausente,,não ,não ,
84,C,A1,P11,Culicidae ,,,,,,ausente,,não ,não ,
85,C,A1,P11,Culicidae ,,,,,,ausente,,não ,não ,
86,C,A1,P2,Culicidae ,,,,,,ausente,,não ,não ,
87,C,A1,P2,Ostracoda,,,,,,ausente,,não ,não ,
88,C,A1,P14,Chironomidae,,,,,,ausente,,não ,não ,
89,C,A1,P14,Chironomidae,,,,,,ausente,,não ,não ,
90,C,A1,P14,Chironomidae,,,,,,ausente,,não ,não ,
