número ,tratamento  ,Amostra,Pote,id ,parte_corpo part. Int.,int. segmento ,parte_corpo part. Frag.,frag. segmento ,local_tubo,microplastico,tipo,inteiro ,fragmentado,obs
233,C,A2,P9,Chironomidae,,,,,,ausente,,não ,não,
234,C,A2,P9,Ostracoda,,,,,,ausente,,não ,não,
235,C,A2,P9,Ostracoda,,,,,,ausente,,não ,não,
236,T2,A2,P3,Ostracoda,,,,,,ausente,,não ,não,
237,C,A3,P15,Ostracoda,,,,,,ausente,,não ,não,
238,T2,A4,P10,Ostracoda,,,região digestiva,,,presente,fragmentado,não,sim,
239,C,A4,P13,Psychodidae,,,,,,ausente,,não ,não ,
240,C,A4,P13,Chironomidae,,,,,,ausente,,não ,não ,
241,C,A4,P6,Culicidae ,,,,,,ausente,,não ,não ,
242,C,A4,P6,Culicidae ,,,,,,ausente,,não ,não ,
243,C,A4,P6,Ostracoda,,,,,,ausente,,não ,não ,
244,T2,A4,P8,Ostracoda,,,região digestiva,,,presente,fragmentado,não ,sim,
245,C,A4,P6,Ostracoda,,,,,,ausente,,não,não,
246,C,A3,P9,Culicidae ,,,,,,ausente,,não,não,
247,C,A3,P12,Ostracoda,,,,,,ausente,,não,não,
248,T2,A4,P6,Chironomidae,tubo digestivo,"1, 2, 3, 4, 5, 6, 7, 8, 11, 12",,,anterior-medio-posterior,presente,inteiro,sim,não ,
249,C,A4,P5,Ostracoda,,,,,,ausente,,não ,não ,
250,C,A4,P5,Ostracoda,,,,,,ausente,,não ,não ,
251,C,A3,P10,Chironomidae,,,,,,ausente,,não ,não ,
252,T2,A4,P1,Chironomidae,"cabeça, tubo digestivo ","1, 2, 4, 5, 6, 7, 10, 11",tubo digestivo ,"1, 2, 4, 5, 6, 7",anterior-medio-posterior,presente,int_frag,sim,sim,
253,T2,A4,P1,Chironomidae,"cabeça, tubo digestivo ","2, 3, 4, 5, 6, 7, 8, 9, 12",tubo digestivo ,"10, 11",anterior-medio-posterior,presente,int_frag,sim,sim,
254,C,A4,P3,Ostracoda,,,,,,ausente,,não ,não ,
255,T2,A3,P6,Culicidae ,"tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8","tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
256,T2,A3,P6,Ostracoda,,,região digestiva,,,presente,fragmentado,não,sim,
257,T2,A3,P6,Ostracoda,,,região digestiva,,,presente,fragmentado,não,sim,
258,T2,A3,P6,Ostracoda,,,região digestiva,,,presente,fragmentado,não,sim,
259,T2,A3,P6,Ostracoda,,,região digestiva,,,presente,fragmentado,não,sim,
260,T2,A4,P12,Ostracoda,,,região digestiva,,,presente,fragmentado,não ,sim,
261,C,A4,P9,Chironomidae,,,,,,ausente,,não,não ,
262,C,A4,P9,Chironomidae,,,,,,ausente,,não,não ,
263,C,A4,P9,Ostracoda,,,,,,ausente,,não,não ,
264,C,A4,P10,Ostracoda,,,,,,ausente,,não,não ,
265,C,A4,P15,Chironomidae,,,,,,ausente,,não,não ,
266,T2,A3,P10,Culicidae ,"cabeça, tórax, tubo digestivo","1, 2, 3, 4, 5, 6, 7, 8","tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
267,T2,A3,P10,Culicidae ,"tórax, tubo digestivo","1, 2, 3, 4, 5, 6, 7, 8","tórax, tubo digestivo ","1, 2, 3, 4, 5, 6, 7, 8",anterior-medio-posterior,presente,int_frag,sim,sim,
268,T2,A3,P10,Chironomidae,"cabeça, tubo digestivo ","2, 3, 4, 11, 12",,,anterior-medio-posterior,presente,inteiro,sim,não,
269,T2,A3,P10,Ostracoda,,,região digestiva,,,presente,fragmentado,não ,sim,
270,T2,A3,P10,Ostracoda,,,região digestiva,,,presente,fragmentado,não ,sim,
271,T2,A3,P7,Ostracoda,,,região digestiva,,,presente,fragmentado,não ,sim,
272,C,A4,P8,Psychodidae,,,,,,ausente,,não,não,
273,T2,A3,P8,Ostracoda,,,região digestiva,,,presente,fragmentado,não,sim,
274,T2,A3,P4,Chironomidae,"cabeça, tubo digestivo","5, 6, 7, 8, 9, 10, 11, 12",tubo digestivo ,"5, 6, 7, 8, 9, 10, 11, 12",medio-posterior,presente,int_frag,sim,sim,
275,T2,A3,P4,Ostracoda,, ,,,,ausente,,não ,não ,
276,T2,A3,P1,Chironomidae,tubo digestivo ,"4, 5, 6, 7, 8, 10, 11, 12",tubo digestivo ,"4, 5, 6, 7, 8, 10, 11, 12",anterior-medio-posterior,presente,int_frag,sim,sim,
277,T2,A3,P1,Chironomidae,tubo digestivo ,"4, 5, 6, 7, 8, 10, 11",tubo digestivo ,"4, 7, 8, 9, 10, 11",anterior-medio-posterior,presente,int_frag,sim,sim,
278,C,A3,P8,Psychodidae,,,,,,ausente,,não ,não ,
279,T2,A4,P11,Ostracoda,,,região digestiva,,,presente,fragmentado,não ,sim,
280,T2,A4,P11,Ostracoda,região digestiva ,,região digestiva,,,presente,int_frag,sim,sim,
281,T2,A4,P9,Ostracoda,,,região digestiva,,,presente,fragmentado,sim,sim,
282,T2,A4,P9,Ostracoda,,,região digestiva,,,presente,fragmentado,sim,sim,
283,T2,A4,P9,Ostracoda,,,região digestiva,,,presente,fragmentado,sim,sim,
284,C,A4,P2,Ostracoda,,,,,,ausente,,não,não ,
285,C,A3,P7,Chironomidae,,,,,,ausente,,não,não ,
286,C,A3,P13,Culicidae ,,,,,,ausente,,não,não ,
287,T2,A4,P2,Ostracoda,,,região digestiva,,,presente,fragmentado,não,sim,
288,T2,A4,P2,Ostracoda,,,região digestiva,,,presente,fragmentado,não,sim,
289,T2,A4,P2,Ostracoda,região digestiva ,,região digestiva,,,presente,int_frag,sim,sim,
290,T2,A3,P15,Ostracoda,região digestiva ,,região digestiva,,,presente,int_frag,sim,sim,
291,T2,A3,P15,Ostracoda,,,região digestiva,,,presente,fragmentado,não,sim,
292,T2,A3,P5,Ostracoda,,,região digestiva,,,presente,fragmentado,não,sim,
293,T2,A3,P5,Ostracoda,,,região digestiva,,,presente,fragmentado,não,sim,
294,T2,A3,P2,Ostracoda,,,região digestiva,,,presente,fragmentado,não,sim,
295,T2,A3,P2,Ostracoda,,,região digestiva,,,presente,fragmentado,não,sim,
296,T2,A3,P2,Ostracoda,,,região digestiva,,,presente,fragmentado,não,sim,
297,T2,A4,P15,Ostracoda,,,,,,ausente,,não,não,
298,T2,A4,P15,Ostracoda,,,,,,ausente,,não,não ,
299,T1,A4,P1,Ostracoda,região digestiva ,,região digestiva,,,presente,int_frag,sim,sim,
300,T1,A4,P12,Ostracoda,região digestiva ,,região digestiva,,,presente,int_frag,sim,sim,
301,T1,A4,P12,Ostracoda,,,região digestiva,,,presente,fragmentado,não,sim,
302,T1,A4,P5,Ostracoda,região digestiva ,,região digestiva,,,presente,int_frag,sim,sim,
303,T2,A3,P9,Chironomidae,tubo digestivo,"1, 2, 4, 5, 6, 7, 8, 10, 11",tubo digestivo,"1, 2, 4, 6, 7, 8, 10, 11",anterior-medio-posterior,presente,int_frag,sim,sim,
304,T2,A3,P9,Chironomidae,tubo digestivo,"1, 6, 7",tubo digestivo,"3, 4, 5, 6, 7",anterior-medio-posterior,presente,int_frag,sim,sim,
305,C,A4,P7,Ostracoda,,,,,,ausente,,não,não,
